Name,Garment_Name,Experience_Years,Job_Role,Working_Hours_Per_Week,Exposure_To_Chemicals,Machine_Use,Workstation_Ergonomics,Injury_History,Health_Condition,Safety_Training,Shift_Type,Task_Rotation_Frequency,Job_Risk
Nazia Sultana,Pallmall Group,18,Ironing,34,Low,Light,Poor,0,Serious_Chronic,Unknown,Night,Frequent,High
Abdul Latif,Pallmall Group,38,Cutting,40,Unknown,Unknown,Poor,0,Healthy,Unknown,Night,Occasional,Medium
Rasel Hossain,Pallmall Group,26,Dyeing,42,Unknown,Heavy,Average,0,Healthy,Unknown,Day,Rare,Medium
Mariam Noor,Pallmall Group,9,Dyeing,52,Unknown,Unknown,Average,1,Healthy,Unknown,Evening,Occasional,Medium
Nazia Sultana,Pallmall Group,25,Packaging,50,Medium,Light,Poor,3,Healthy,Basic,Evening,Rare,High
Rahim Ahmed,Pallmall Group,18,Ironing,49,Unknown,Light,Poor,4,Healthy,Unknown,Day,Frequent,High
Shahidul Islam,Pallmall Group,38,Supervisor,53,Low,Unknown,Average,0,Healthy,Basic,Day,Occasional,Low
Taslima Akter,Pallmall Group,2,Sewing,60,High,Unknown,Poor,0,Healthy,Advanced,Evening,Rare,High
Rahim Ahmed,Pallmall Group,12,Sewing,38,Medium,Heavy,Poor,0,Healthy,Advanced,Night,Rare,High
Rasel Hossain,Pallmall Group,27,Dyeing,37,Unknown,Heavy,Average,2,Healthy,Basic,Night,Frequent,Medium
Abdul Latif,Pallmall Group,19,Sewing,52,Medium,Light,Poor,0,Healthy,Advanced,Day,Occasional,Low
Fariha Khan,Pallmall Group,27,Sewing,64,Unknown,Light,Poor,0,Healthy,Unknown,Day,Rare,Medium
Shahidul Islam,Pallmall Group,7,Cutting,65,Unknown,Light,Good,0,Healthy,Unknown,Day,Occasional,Medium
Shahidul Islam,Pallmall Group,40,Sewing,68,Medium,Unknown,Good,1,Minor_Chronic,Basic,Night,Rare,High
Shahidul Islam,Pallmall Group,38,Sewing,51,Low,Light,Average,0,Healthy,Advanced,Day,Rare,Low
Rahim Ahmed,Pallmall Group,0,Supervisor,67,Unknown,Heavy,Poor,0,Healthy,Advanced,Evening,Frequent,High
Rahim Ahmed,Pallmall Group,2,Sewing,60,Unknown,Light,Average,0,Healthy,Basic,Evening,Rare,Medium
Shamina Begum,Pallmall Group,12,Packaging,44,Unknown,Heavy,Average,1,Healthy,Basic,Night,Frequent,Medium
Rahim Ahmed,Pallmall Group,27,Packaging,51,Low,Unknown,Poor,1,Healthy,Basic,Day,Occasional,Low
Shahidul Islam,Pallmall Group,24,Machine_Maintenance,64,Unknown,Light,Poor,0,Minor_Chronic,Basic,Evening,Rare,Medium
Rahim Ahmed,Pallmall Group,32,Sewing,29,High,Light,Poor,1,Healthy,Basic,Night,Frequent,High
Mushfiqur Rahman,Pallmall Group,37,Machine_Maintenance,59,High,Light,Average,1,Healthy,Basic,Evening,Occasional,High
Rahim Ahmed,Pallmall Group,5,Ironing,51,Medium,Light,Good,0,Minor_Chronic,Unknown,Day,Occasional,Medium
Rasel Hossain,Pallmall Group,31,Dyeing,36,Unknown,Light,Average,1,Healthy,Unknown,Day,Frequent,Low
Mariam Noor,Pallmall Group,20,Dyeing,31,Low,Light,Average,0,Minor_Chronic,Advanced,Night,Frequent,Low
Taslima Akter,Pallmall Group,15,Packaging,44,Medium,Light,Average,1,Healthy,Basic,Day,Rare,Low
Nazia Sultana,Pallmall Group,20,Cutting,44,Medium,Light,Average,0,Healthy,Basic,Evening,Rare,Low
Taslima Akter,Pallmall Group,10,Packaging,57,Unknown,Heavy,Average,0,Healthy,Basic,Evening,Occasional,Low
Shamina Begum,Pallmall Group,36,Ironing,67,Unknown,Light,Poor,1,Healthy,Advanced,Night,Rare,High
Mushfiqur Rahman,Pallmall Group,35,Packaging,38,Unknown,Light,Average,1,Minor_Chronic,Basic,Day,Occasional,Low
Nazia Sultana,Pallmall Group,34,Supervisor,48,Low,Unknown,Good,1,Healthy,Unknown,Evening,Rare,Medium
Fariha Khan,Pallmall Group,18,Sewing,48,Low,Unknown,Average,0,Healthy,Basic,Day,Occasional,Low
Mushfiqur Rahman,Pallmall Group,19,Supervisor,45,Medium,Light,Good,2,Minor_Chronic,Basic,Day,Rare,Low
Mariam Noor,Pallmall Group,17,Sewing,56,Unknown,Light,Average,1,Healthy,Unknown,Day,Frequent,Low
Shahidul Islam,Pallmall Group,40,Sewing,51,Unknown,Light,Average,0,Minor_Chronic,Basic,Night,Occasional,Low
Mariam Noor,Pallmall Group,13,Sewing,37,Unknown,Light,Poor,0,Minor_Chronic,Basic,Night,Rare,Medium
Nazia Sultana,Pallmall Group,14,Cutting,44,Unknown,Unknown,Average,1,Healthy,Basic,Day,Frequent,Low
Taslima Akter,Pallmall Group,30,Dyeing,45,Unknown,Light,Good,1,Healthy,Basic,Day,Rare,Medium
Shamina Begum,Pallmall Group,0,Sewing,47,Low,Light,Average,1,Minor_Chronic,Basic,Evening,Occasional,Medium
Rasel Hossain,Pallmall Group,2,Sewing,64,Low,Light,Poor,0,Healthy,Advanced,Evening,Rare,Medium
Rasel Hossain,Pallmall Group,15,Machine_Maintenance,45,Low,Unknown,Poor,1,Minor_Chronic,Advanced,Evening,Frequent,Medium
Abdul Latif,Pallmall Group,22,Packaging,44,Unknown,Unknown,Average,2,Healthy,Basic,Night,Occasional,Medium
Shamina Begum,Pallmall Group,10,Packaging,36,Unknown,Heavy,Average,2,Healthy,Basic,Night,Rare,Medium
Shahidul Islam,Pallmall Group,11,Machine_Maintenance,41,Unknown,Unknown,Average,0,Healthy,Advanced,Day,Frequent,Low
Shamina Begum,Pallmall Group,9,Packaging,56,Medium,Unknown,Good,0,Healthy,Advanced,Day,Rare,Low
Mariam Noor,Pallmall Group,31,Sewing,58,Unknown,Unknown,Average,2,Healthy,Advanced,Evening,Frequent,Low
Taslima Akter,Pallmall Group,15,Cutting,31,Medium,Light,Average,0,Healthy,Unknown,Night,Rare,Medium
Rasel Hossain,Pallmall Group,7,Packaging,45,Unknown,Light,Poor,1,Healthy,Unknown,Day,Frequent,Medium
Fariha Khan,Pallmall Group,37,Sewing,47,Medium,Light,Poor,1,Minor_Chronic,Advanced,Evening,Occasional,Medium
Shahidul Islam,Pallmall Group,11,Packaging,36,Medium,Light,Average,0,Healthy,Advanced,Day,Frequent,Low
Nazia Sultana,Pallmall Group,23,Sewing,40,Unknown,Light,Good,1,Minor_Chronic,Basic,Night,Frequent,Low
Rahim Ahmed,Pallmall Group,27,Cutting,42,Low,Unknown,Average,1,Healthy,Advanced,Evening,Frequent,Low
Mushfiqur Rahman,Pallmall Group,7,Ironing,54,Unknown,Heavy,Average,0,Healthy,Advanced,Day,Occasional,Medium
Mushfiqur Rahman,Pallmall Group,27,Dyeing,42,Medium,Light,Poor,1,Minor_Chronic,Basic,Day,Frequent,High
Rasel Hossain,Pallmall Group,35,Dyeing,55,Unknown,Light,Good,0,Healthy,Basic,Day,Occasional,Low
Rasel Hossain,Pallmall Group,25,Packaging,64,Unknown,Light,Good,0,Minor_Chronic,Basic,Night,Rare,Medium
Fariha Khan,Pallmall Group,7,Sewing,46,Low,Unknown,Average,0,Healthy,Basic,Evening,Frequent,Low
Shamina Begum,Pallmall Group,27,Sewing,53,Medium,Light,Poor,0,Healthy,Advanced,Evening,Occasional,Low
Rasel Hossain,Pallmall Group,27,Packaging,53,Unknown,Light,Average,0,Minor_Chronic,Basic,Day,Rare,Low
Taslima Akter,Pallmall Group,36,Packaging,52,Low,Unknown,Good,2,Healthy,Advanced,Day,Occasional,Low
Mushfiqur Rahman,Pallmall Group,40,Sewing,53,Unknown,Heavy,Average,1,Healthy,Advanced,Day,Occasional,Low
Shamina Begum,Pallmall Group,35,Packaging,53,Unknown,Heavy,Average,0,Healthy,Unknown,Day,Occasional,Medium
Shamina Begum,Pallmall Group,26,Sewing,55,Low,Light,Poor,0,Minor_Chronic,Unknown,Day,Occasional,Low
Mariam Noor,Pallmall Group,16,Ironing,45,Unknown,Heavy,Poor,0,Minor_Chronic,Basic,Day,Rare,Medium
Mariam Noor,Pallmall Group,8,Sewing,59,Unknown,Unknown,Poor,1,Healthy,Basic,Day,Occasional,Medium
Nazia Sultana,Pallmall Group,32,Packaging,30,Medium,Unknown,Good,1,Serious_Chronic,Basic,Evening,Frequent,Medium
Nazia Sultana,Pallmall Group,19,Dyeing,29,Unknown,Unknown,Average,0,Healthy,Unknown,Night,Occasional,Low
Rahim Ahmed,Pallmall Group,12,Sewing,60,Low,Light,Average,1,Serious_Chronic,Basic,Day,Occasional,Medium
Mushfiqur Rahman,Pallmall Group,27,Packaging,46,Unknown,Unknown,Poor,0,Healthy,Unknown,Evening,Rare,Medium
Rasel Hossain,Pallmall Group,28,Cutting,44,Unknown,Heavy,Good,0,Healthy,Basic,Day,Rare,Low
Shamina Begum,Pallmall Group,12,Sewing,60,Unknown,Unknown,Good,0,Minor_Chronic,Unknown,Day,Occasional,Low
Nazia Sultana,Pallmall Group,34,Sewing,39,Low,Light,Poor,1,Healthy,Advanced,Night,Rare,High
Shamina Begum,Pallmall Group,5,Sewing,30,Low,Heavy,Good,0,Serious_Chronic,Basic,Day,Occasional,High
Nazia Sultana,Pallmall Group,17,Sewing,53,Unknown,Light,Poor,1,Healthy,Advanced,Day,Occasional,Low
Taslima Akter,Pallmall Group,4,Dyeing,62,Unknown,Light,Poor,0,Healthy,Advanced,Day,Occasional,Medium
Shahidul Islam,Pallmall Group,24,Packaging,35,Medium,Light,Poor,0,Serious_Chronic,Advanced,Day,Occasional,Medium
Nazia Sultana,Pallmall Group,1,Ironing,63,Unknown,Light,Good,1,Serious_Chronic,Basic,Evening,Frequent,Medium
Rasel Hossain,Pallmall Group,9,Sewing,34,Medium,Light,Good,0,Healthy,Advanced,Day,Rare,Low
Shamina Begum,Pallmall Group,29,Sewing,63,Unknown,Light,Average,1,Healthy,Unknown,Day,Occasional,Medium
Abdul Latif,Pallmall Group,4,Sewing,43,Low,Light,Average,0,Minor_Chronic,Unknown,Night,Frequent,Low
Fariha Khan,Pallmall Group,32,Cutting,51,Unknown,Heavy,Average,0,Serious_Chronic,Advanced,Day,Frequent,Medium
Taslima Akter,Pallmall Group,0,Packaging,28,Medium,Heavy,Good,1,Healthy,Unknown,Day,Occasional,High
Mariam Noor,Pallmall Group,17,Sewing,52,Low,Light,Average,0,Healthy,Advanced,Night,Occasional,Low
Fariha Khan,Pallmall Group,31,Packaging,37,Unknown,Light,Average,0,Minor_Chronic,Basic,Day,Rare,Low
Rasel Hossain,Pallmall Group,10,Packaging,43,Unknown,Light,Average,0,Healthy,Basic,Night,Rare,Low
Rahim Ahmed,Pallmall Group,20,Ironing,43,Low,Heavy,Poor,0,Serious_Chronic,Unknown,Night,Occasional,High
Shahidul Islam,Pallmall Group,25,Packaging,35,Low,Unknown,Average,1,Healthy,Basic,Day,Rare,Low
Mushfiqur Rahman,Pallmall Group,24,Ironing,56,Unknown,Light,Average,0,Healthy,Basic,Day,Frequent,Low
Fariha Khan,Pallmall Group,21,Dyeing,66,Unknown,Light,Poor,0,Healthy,Basic,Day,Occasional,Medium
Rasel Hossain,Pallmall Group,26,Ironing,55,Medium,Heavy,Good,0,Healthy,Basic,Night,Rare,Medium
Mariam Noor,Pallmall Group,12,Ironing,33,Unknown,Unknown,Poor,1,Healthy,Unknown,Day,Rare,High
Fariha Khan,Pallmall Group,32,Sewing,43,Low,Light,Good,1,Serious_Chronic,Basic,Evening,Occasional,Medium
Nazia Sultana,Pallmall Group,33,Cutting,47,Unknown,Light,Poor,1,Healthy,Basic,Night,Rare,Medium
Abdul Latif,Pallmall Group,40,Sewing,43,Medium,Unknown,Poor,1,Minor_Chronic,Unknown,Night,Occasional,High
Rasel Hossain,Pallmall Group,34,Ironing,34,Medium,Light,Average,1,Healthy,Unknown,Night,Frequent,Medium
Abdul Latif,Pallmall Group,0,Sewing,68,High,Light,Average,0,Minor_Chronic,Basic,Evening,Frequent,Medium
Mariam Noor,Pallmall Group,20,Machine_Maintenance,41,Unknown,Light,Average,1,Healthy,Basic,Night,Occasional,Medium
Taslima Akter,Pallmall Group,5,Packaging,53,Medium,Unknown,Poor,1,Healthy,Basic,Day,Frequent,Medium
Rasel Hossain,Pallmall Group,27,Cutting,53,Unknown,Unknown,Poor,0,Healthy,Basic,Evening,Occasional,Low
Abdul Latif,Pallmall Group,16,Sewing,41,Low,Light,Average,1,Healthy,Basic,Evening,Occasional,Low
Rahim Ahmed,Pallmall Group,4,Machine_Maintenance,34,Low,Light,Average,0,Serious_Chronic,Basic,Day,Occasional,Medium
Mushfiqur Rahman,Pallmall Group,30,Packaging,60,Unknown,Heavy,Average,0,Healthy,Basic,Day,Rare,Medium
Shahidul Islam,Pallmall Group,4,Packaging,53,High,Unknown,Poor,0,Healthy,Basic,Evening,Rare,High
Rahim Ahmed,Pallmall Group,37,Sewing,47,Unknown,Unknown,Average,0,Healthy,Basic,Day,Occasional,Low
Rasel Hossain,Pallmall Group,2,Cutting,30,Low,Light,Average,1,Healthy,Unknown,Day,Frequent,Medium
Fariha Khan,Pallmall Group,22,Sewing,31,Medium,Light,Good,0,Healthy,Basic,Day,Occasional,Low
Abdul Latif,Pallmall Group,36,Sewing,53,Medium,Light,Average,3,Healthy,Basic,Night,Occasional,Medium
Rahim Ahmed,Pallmall Group,36,Packaging,38,Unknown,Heavy,Poor,1,Healthy,Basic,Day,Occasional,Medium
Fariha Khan,Pallmall Group,9,Packaging,29,Unknown,Unknown,Poor,0,Serious_Chronic,Advanced,Night,Occasional,Medium
Nazia Sultana,Pallmall Group,9,Dyeing,41,Medium,Light,Average,0,Healthy,Basic,Day,Occasional,Medium
Fariha Khan,Pallmall Group,18,Machine_Maintenance,57,Unknown,Light,Average,4,Healthy,Basic,Day,Frequent,High
Shamina Begum,Pallmall Group,16,Dyeing,39,Unknown,Light,Good,0,Minor_Chronic,Advanced,Day,Occasional,Low
Fariha Khan,Pallmall Group,20,Ironing,53,Unknown,Heavy,Average,1,Minor_Chronic,Basic,Evening,Rare,Medium
Fariha Khan,Pallmall Group,13,Cutting,60,Unknown,Light,Average,0,Minor_Chronic,Advanced,Night,Occasional,Medium
Taslima Akter,Pallmall Group,8,Machine_Maintenance,40,Medium,Light,Average,0,Healthy,Unknown,Evening,Occasional,Medium
Shamina Begum,Pallmall Group,0,Sewing,41,Unknown,Light,Average,0,Healthy,Advanced,Evening,Occasional,Low
Mushfiqur Rahman,Pallmall Group,12,Machine_Maintenance,51,Low,Light,Poor,1,Serious_Chronic,Unknown,Day,Occasional,High
Shahidul Islam,Pallmall Group,3,Packaging,61,Unknown,Heavy,Poor,1,Healthy,Basic,Evening,Occasional,High
Nazia Sultana,Pallmall Group,0,Sewing,53,Unknown,Heavy,Average,0,Healthy,Basic,Day,Rare,Medium
Mariam Noor,Pallmall Group,39,Ironing,48,Unknown,Heavy,Poor,1,Healthy,Advanced,Day,Rare,High
Rahim Ahmed,Pallmall Group,31,Packaging,55,Unknown,Light,Poor,0,Healthy,Basic,Night,Occasional,Low
Shamina Begum,Pallmall Group,33,Dyeing,63,Unknown,Light,Poor,0,Minor_Chronic,Advanced,Night,Occasional,Medium
Mushfiqur Rahman,Pallmall Group,27,Machine_Maintenance,67,Low,Light,Poor,0,Healthy,Basic,Day,Rare,High
Fariha Khan,Pallmall Group,30,Machine_Maintenance,29,Unknown,Light,Poor,2,Minor_Chronic,Unknown,Night,Occasional,High
Abdul Latif,Pallmall Group,7,Cutting,36,Unknown,Unknown,Average,0,Healthy,Basic,Evening,Frequent,Low
Fariha Khan,Pallmall Group,38,Cutting,50,Unknown,Light,Average,2,Serious_Chronic,Basic,Day,Rare,High
Rasel Hossain,Pallmall Group,25,Machine_Maintenance,42,Unknown,Heavy,Average,0,Healthy,Basic,Day,Frequent,Medium
Abdul Latif,Pallmall Group,33,Packaging,40,Medium,Light,Average,2,Healthy,Advanced,Night,Frequent,Medium
Mariam Noor,Pallmall Group,2,Sewing,50,Low,Light,Good,0,Healthy,Advanced,Evening,Frequent,Low
Nazia Sultana,Pallmall Group,11,Sewing,44,Unknown,Heavy,Poor,2,Minor_Chronic,Basic,Day,Frequent,High
Mariam Noor,Pallmall Group,0,Ironing,29,Unknown,Unknown,Average,0,Minor_Chronic,Advanced,Evening,Occasional,Low
Rasel Hossain,Pallmall Group,4,Machine_Maintenance,47,High,Light,Poor,0,Healthy,Unknown,Evening,Occasional,High
Mushfiqur Rahman,Pallmall Group,29,Packaging,47,Unknown,Light,Average,0,Healthy,Unknown,Day,Occasional,Low
Mariam Noor,Pallmall Group,29,Packaging,30,Medium,Light,Good,0,Minor_Chronic,Advanced,Evening,Rare,Low
Mariam Noor,Pallmall Group,16,Sewing,39,Unknown,Light,Average,0,Minor_Chronic,Advanced,Day,Rare,Low
Shamina Begum,Pallmall Group,22,Sewing,67,Medium,Unknown,Average,0,Healthy,Unknown,Evening,Rare,Medium
Rasel Hossain,Pallmall Group,14,Machine_Maintenance,29,Medium,Light,Average,0,Minor_Chronic,Basic,Night,Rare,High
Rasel Hossain,Pallmall Group,36,Sewing,63,Low,Unknown,Average,1,Healthy,Advanced,Night,Occasional,Medium
Rasel Hossain,Pallmall Group,20,Sewing,41,Unknown,Heavy,Poor,0,Healthy,Unknown,Evening,Frequent,Medium
Rasel Hossain,Pallmall Group,13,Sewing,43,Unknown,Light,Average,1,Healthy,Basic,Night,Frequent,Low
Shamina Begum,Pallmall Group,1,Packaging,46,Unknown,Light,Average,1,Serious_Chronic,Basic,Night,Rare,High
Abdul Latif,Pallmall Group,10,Machine_Maintenance,61,Unknown,Unknown,Average,1,Healthy,Advanced,Day,Rare,Medium
Nazia Sultana,Pallmall Group,38,Sewing,33,Unknown,Unknown,Poor,0,Healthy,Advanced,Night,Occasional,Low
Mushfiqur Rahman,Pallmall Group,37,Ironing,40,Unknown,Light,Good,2,Serious_Chronic,Advanced,Day,Occasional,Medium
Abdul Latif,Pallmall Group,33,Dyeing,63,Low,Unknown,Poor,1,Healthy,Basic,Day,Frequent,High
Shamina Begum,Pallmall Group,37,Supervisor,49,Low,Light,Poor,0,Minor_Chronic,Basic,Evening,Occasional,Low
Rahim Ahmed,Pallmall Group,33,Sewing,45,Unknown,Light,Average,1,Minor_Chronic,Unknown,Day,Occasional,Low
Mariam Noor,Pallmall Group,17,Ironing,39,Unknown,Heavy,Poor,1,Serious_Chronic,Advanced,Day,Rare,High
Rahim Ahmed,Pallmall Group,29,Cutting,57,High,Light,Average,1,Healthy,Basic,Evening,Rare,High
Rasel Hossain,Pallmall Group,14,Packaging,67,Unknown,Light,Average,0,Healthy,Basic,Day,Rare,Low
Taslima Akter,Pallmall Group,26,Ironing,34,Medium,Light,Average,2,Minor_Chronic,Advanced,Night,Occasional,Medium
Rasel Hossain,Pallmall Group,33,Sewing,59,Unknown,Light,Average,2,Healthy,Unknown,Day,Frequent,Medium
Fariha Khan,Pallmall Group,37,Dyeing,46,Unknown,Light,Average,0,Healthy,Advanced,Night,Rare,Low
Shamina Begum,Pallmall Group,32,Packaging,33,Unknown,Unknown,Good,0,Healthy,Basic,Day,Rare,Low
Shahidul Islam,Pallmall Group,23,Sewing,47,Unknown,Heavy,Average,2,Healthy,Basic,Evening,Occasional,Medium
Shamina Begum,Pallmall Group,14,Packaging,54,Medium,Unknown,Average,2,Serious_Chronic,Unknown,Day,Rare,High
Rahim Ahmed,Pallmall Group,29,Sewing,64,Low,Unknown,Good,0,Healthy,Advanced,Evening,Frequent,Low
Mushfiqur Rahman,Pallmall Group,16,Ironing,34,Unknown,Light,Poor,1,Healthy,Advanced,Day,Rare,Medium
Taslima Akter,Pallmall Group,4,Cutting,32,High,Heavy,Average,0,Healthy,Unknown,Day,Frequent,High
Fariha Khan,Pallmall Group,28,Packaging,38,Unknown,Light,Poor,0,Healthy,Unknown,Day,Frequent,Low
Shahidul Islam,Pallmall Group,3,Cutting,42,High,Heavy,Poor,0,Healthy,Advanced,Evening,Frequent,High
Rasel Hossain,Pallmall Group,9,Packaging,30,High,Light,Poor,1,Minor_Chronic,Unknown,Night,Rare,High
Mushfiqur Rahman,Pallmall Group,16,Packaging,32,Unknown,Light,Average,1,Healthy,Basic,Day,Rare,Low
Fariha Khan,Pallmall Group,9,Dyeing,50,Unknown,Light,Average,1,Healthy,Basic,Evening,Frequent,Low
Nazia Sultana,Pallmall Group,16,Packaging,64,Unknown,Heavy,Average,2,Minor_Chronic,Advanced,Evening,Frequent,High
Shahidul Islam,Pallmall Group,19,Packaging,36,Low,Unknown,Good,0,Healthy,Basic,Day,Occasional,Low
Mushfiqur Rahman,Pallmall Group,23,Sewing,42,Low,Light,Average,0,Healthy,Basic,Day,Occasional,Low
Mushfiqur Rahman,Pallmall Group,4,Cutting,30,High,Unknown,Good,2,Serious_Chronic,Advanced,Day,Rare,High
Abdul Latif,Pallmall Group,33,Machine_Maintenance,56,Low,Heavy,Good,1,Healthy,Basic,Day,Frequent,High
Rahim Ahmed,Pallmall Group,5,Sewing,33,Unknown,Light,Average,0,Minor_Chronic,Basic,Day,Rare,Low
Mariam Noor,Pallmall Group,1,Packaging,44,Unknown,Light,Good,1,Minor_Chronic,Unknown,Day,Rare,Medium
Fariha Khan,Pallmall Group,12,Supervisor,53,Low,Light,Average,0,Minor_Chronic,Advanced,Day,Rare,Low
Taslima Akter,Pallmall Group,10,Sewing,48,Unknown,Heavy,Good,1,Minor_Chronic,Basic,Night,Occasional,Medium
Rahim Ahmed,Pallmall Group,22,Packaging,35,Medium,Heavy,Poor,0,Healthy,Unknown,Night,Rare,High
Abdul Latif,Pallmall Group,15,Ironing,48,Unknown,Light,Average,1,Minor_Chronic,Basic,Evening,Occasional,Low
Mushfiqur Rahman,Pallmall Group,30,Dyeing,38,Unknown,Light,Average,0,Minor_Chronic,Basic,Evening,Occasional,Low
Shamina Begum,Pallmall Group,10,Sewing,65,Unknown,Unknown,Average,1,Healthy,Advanced,Day,Rare,Low
Mushfiqur Rahman,Pallmall Group,15,Sewing,35,Low,Heavy,Good,0,Healthy,Basic,Day,Occasional,Medium
Nazia Sultana,Pallmall Group,7,Dyeing,51,Unknown,Light,Good,0,Minor_Chronic,Basic,Day,Rare,Low
Shahidul Islam,Pallmall Group,3,Packaging,62,Medium,Light,Average,1,Healthy,Basic,Evening,Rare,Medium
Abdul Latif,Pallmall Group,39,Packaging,41,Unknown,Light,Good,0,Minor_Chronic,Unknown,Night,Occasional,Low
Shahidul Islam,Pallmall Group,3,Ironing,41,Medium,Heavy,Poor,0,Healthy,Advanced,Day,Occasional,Medium
Taslima Akter,Pallmall Group,24,Sewing,37,Low,Light,Average,0,Healthy,Unknown,Day,Rare,Low
Mushfiqur Rahman,Pallmall Group,2,Packaging,39,Unknown,Light,Average,1,Healthy,Basic,Evening,Frequent,Low
Nazia Sultana,Pallmall Group,31,Sewing,65,Medium,Heavy,Poor,2,Healthy,Advanced,Night,Frequent,High
Rahim Ahmed,Pallmall Group,2,Machine_Maintenance,61,Unknown,Light,Average,0,Healthy,Basic,Day,Occasional,Medium
Rahim Ahmed,Pallmall Group,26,Packaging,68,Unknown,Light,Average,0,Healthy,Unknown,Day,Occasional,Low
Rasel Hossain,Pallmall Group,28,Packaging,37,Unknown,Heavy,Poor,0,Healthy,Advanced,Night,Rare,Medium
Abdul Latif,Pallmall Group,31,Machine_Maintenance,44,Medium,Heavy,Average,0,Healthy,Basic,Day,Frequent,High
Mushfiqur Rahman,Pallmall Group,18,Sewing,44,Medium,Heavy,Average,0,Healthy,Basic,Evening,Occasional,Low
Mariam Noor,Pallmall Group,20,Packaging,30,Low,Light,Average,1,Minor_Chronic,Advanced,Night,Rare,Medium
Nazia Sultana,Pallmall Group,4,Cutting,58,Low,Light,Poor,0,Healthy,Advanced,Night,Frequent,Medium
Taslima Akter,Pallmall Group,17,Machine_Maintenance,28,Medium,Heavy,Good,0,Healthy,Basic,Day,Occasional,High
Mushfiqur Rahman,Pallmall Group,27,Sewing,39,Unknown,Light,Good,0,Healthy,Basic,Day,Occasional,Low
Taslima Akter,Pallmall Group,21,Packaging,66,Medium,Heavy,Poor,1,Healthy,Advanced,Day,Rare,High
Mushfiqur Rahman,Pallmall Group,20,Machine_Maintenance,31,Unknown,Heavy,Poor,1,Healthy,Unknown,Evening,Rare,High
Taslima Akter,Pallmall Group,5,Sewing,40,High,Light,Good,1,Healthy,Unknown,Evening,Frequent,High
Mariam Noor,Pallmall Group,0,Cutting,61,Low,Heavy,Average,1,Healthy,Advanced,Night,Occasional,High
Shahidul Islam,Pallmall Group,4,Packaging,48,Medium,Heavy,Poor,1,Healthy,Basic,Day,Rare,High
Mushfiqur Rahman,Pallmall Group,40,Ironing,49,Low,Light,Average,0,Healthy,Unknown,Evening,Occasional,Low
Rahim Ahmed,Pallmall Group,11,Sewing,31,Unknown,Light,Average,1,Serious_Chronic,Basic,Day,Occasional,Medium
Nazia Sultana,Pallmall Group,25,Sewing,45,Low,Unknown,Average,0,Healthy,Unknown,Day,Rare,Low
Mushfiqur Rahman,Pallmall Group,33,Sewing,32,Unknown,Light,Poor,0,Minor_Chronic,Unknown,Day,Occasional,Low
Shamina Begum,Pallmall Group,13,Packaging,46,Low,Unknown,Average,1,Healthy,Unknown,Day,Occasional,Low
Shahidul Islam,Pallmall Group,25,Dyeing,29,Low,Light,Poor,0,Healthy,Advanced,Night,Rare,High
Mariam Noor,Pallmall Group,26,Sewing,39,Medium,Heavy,Good,4,Healthy,Advanced,Day,Rare,High
Mushfiqur Rahman,Pallmall Group,8,Cutting,44,Low,Heavy,Average,1,Healthy,Basic,Day,Rare,Medium
Taslima Akter,Pallmall Group,25,Cutting,37,Unknown,Light,Average,0,Minor_Chronic,Basic,Day,Occasional,Low
Shahidul Islam,Pallmall Group,21,Sewing,61,Unknown,Light,Average,1,Healthy,Advanced,Day,Occasional,Low
Rasel Hossain,Pallmall Group,29,Cutting,33,Low,Light,Average,0,Healthy,Basic,Day,Rare,Low
Fariha Khan,Pallmall Group,16,Cutting,35,Unknown,Heavy,Good,0,Healthy,Basic,Night,Occasional,Low
Rasel Hossain,Pallmall Group,25,Cutting,38,Unknown,Light,Poor,0,Healthy,Advanced,Night,Occasional,Low
Shamina Begum,Pallmall Group,35,Packaging,39,Medium,Light,Good,1,Healthy,Basic,Day,Occasional,Low
Taslima Akter,Pallmall Group,0,Sewing,36,Low,Heavy,Poor,0,Healthy,Basic,Evening,Rare,High
Taslima Akter,Pallmall Group,7,Dyeing,29,Low,Light,Average,0,Healthy,Advanced,Day,Occasional,Medium
Rasel Hossain,Pallmall Group,34,Dyeing,35,Unknown,Heavy,Average,0,Healthy,Basic,Day,Occasional,Medium
Nazia Sultana,Pallmall Group,14,Ironing,38,Low,Heavy,Average,0,Healthy,Basic,Evening,Occasional,Medium
Shamina Begum,Pallmall Group,21,Dyeing,63,Unknown,Heavy,Good,1,Healthy,Basic,Day,Occasional,High
Rahim Ahmed,Pallmall Group,13,Ironing,37,Low,Light,Average,1,Healthy,Basic,Day,Rare,Low
Shamina Begum,Pallmall Group,25,Machine_Maintenance,48,Unknown,Light,Average,0,Healthy,Advanced,Day,Frequent,Low
Rasel Hossain,Pallmall Group,27,Packaging,47,Medium,Heavy,Good,0,Minor_Chronic,Basic,Day,Frequent,Medium
Mushfiqur Rahman,Pallmall Group,22,Ironing,35,Unknown,Light,Poor,0,Healthy,Basic,Day,Occasional,Low
Fariha Khan,Pallmall Group,13,Packaging,63,Unknown,Light,Good,0,Healthy,Unknown,Day,Frequent,Low
Rahim Ahmed,Pallmall Group,23,Dyeing,56,Low,Unknown,Average,0,Healthy,Advanced,Day,Occasional,Low
